Gender,Height,Weight
Male,73.84701702,241.8935632
Male,68.78190405,162.3104725
Male,74.11010539,212.7408556
Male,71.7309784,220.0424703
Male,69.88179586,206.3498006
Male,67.25301569,152.2121558
Male,68.78508125,183.9278886
Male,68.34851551,167.9711105
Male,67.01894966,175.9294404
Male,63.45649398,156.3996764
Male,71.19538228,186.6049256
Male,71.64080512,213.7411695
Male,64.76632913,167.1274611
Male,69.2830701,189.4461814
Male,69.24373223,186.434168
Male,67.6456197,172.1869301
Male,72.41831663,196.0285063
Male,63.97432572,172.8834702
Male,69.6400599,185.9839576
Male,67.93600485,182.426648
Male,67.91505019,174.1159291
Male,69.43943987,197.7314216
Male,66.14913196,149.173566
Male,75.20597361,228.7617806
